id	Definition
Animal:animal.N	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.
Animal:bird.N	Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.
Animal:Canis lupus familiaris.N	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.
Animal:Canis lupus.N	A large wild canid (Canidae), closely related to the dog.
Animal:Canis.N	Refers to *genus canis*, a genus containing seven to ten extant species, including wolves, domestic dogs, coyotes, and jackals.
Animal:Felis catus.N	A common four-legged animal (Felis silvestris) that is often kept as a household pet.
Animal:Vespinae.N	A flying stinging insect related to the bee, which is usually coloured yellow and black.
Body:ankle.N	A joint formed where the foot and the leg meet.
Body:anus.N	The lower opening of the digestive tract, through which faeces pass.
Body:arm or hand.N	Extremities emerging from the upper part of the human body.
Body:arm.N	The upper limb, extending from the shoulder to the wrist and sometimes including the hand.
Body:armpit.N	The hollow under the upper part of the arm at the shoulder.
Body:artery.N	A blood vessel transporting blood away from the heart.
Body:back of head.N	The back part of the head.
Body:back.N	The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.
Body:bald.A	Without hair on the head.
Body:beard.N	Facial hair of humans on the chin, cheeks and jaw.
Body:blond.A	A pale yellowish-brown color usually of hair.
Body:blood vessel.N	The blood vessels are the part of the circulatory system that transports blood throughout the human body or an animal body.
Body:blood.N	A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.
Body:body hair.N	The terminal hair that develops on the human body during and after puberty.
Body:body part.N	Part of a human body or an animal body.
Body:body.N	The physical structure of a human or animal.
Body:boil.N	A painful, local inflammation of the skin, caused by infection of a hair follicle. Usually, a hard core and pus are present.
Body:bone.N	Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.
Body:brain.N	The organ of the central nervous system of an animal or human located in the skull that controls the actions and thoughts of the animal or human.
Body:breast milk.N	The milk of humans.
Body:breast.N	The fleshy organ on the chest of a sexually mature human female containing mammary glands.
Body:breath.N	The air inhaled and exhaled through the lungs.
Body:breathe.V	To repeatedly draw air into, and expel it from, the lungs, in order to extract oxygen from it and excrete waste products.
Body:bruise.N	A collection of blood in the body tissue outside the blood vessels
Body:burp.V	To release gas from the digestive tract through the mouth.
Body:buttocks.N	The fleshy part of the human body that one sits on.
Body:carcass.N	The body of a dead animal, on which other animals have begun to feed.
Body:cheek.N	The soft skin on each side of the face, between the eyes and the chin; the outer surface of the sides of the oral cavity.
Body:chest.N	The portion of the body from the base of the neck to the top of the abdomen; the thorax.
Body:chin.N	The bottom of the face, below the mouth.
Body:clitoris.N	A part of the female genitalia located at the front of the vulva, consisting of a sensitive erectile body.
Body:corpse.N	A dead body.
Body:eye.N	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals and humans see.
Body:eyeball.N	The partly visible orb nesting in the eye socket which contains for example pupil, retina and iris and is connected to the brain via the optic nerve.
Body:eyebrow.N	The hair that grows over the bone ridge above the eye socket.
Body:eyelash.N	One of the hairs that grows on the eyelid, around the eyes.
Body:eyelid.N	A skin flap that can be closed over an eye.
Body:face.N	The front part of the head, featuring the eyes, nose, and mouth and the surrounding area.
Body:feather.N	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.
Body:finger or toe.N	Limb of the human body found in the hands and foots of humans and primates.
Body:finger.N	One of the long extremities of the hand that is used for gripping objects.
Body:fingernail.N	The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.
Body:fingertip.N	The top of the finger.
Body:fishbone.N	Any of the bones forming the skeleton of a fish, especially one of the sharp slender bones attached to the backbone.
Body:fist.N	The closed hand with the fingers on the palm.
Body:foot or leg.N	Lower part of the human body which is used for walking.
Body:foot.N	The part of a human’s body below the ankle that is used in order to stand and walk.
