id	style	word
PLX:1SG.pro		me
PLX:2SG.pro		vu
PLX:about.pp		pri
PLX:above.pp		super
PLX:across.pp		tra
PLX:across.pp		trans
PLX:after.pp		after
PLX:and.cnj		e
PLX:around.pp		sirk
PLX:at.pp		an
PLX:at.pp		che
PLX:because of.pp		pro
PLX:before.pp		ante
PLX:behind.pp		hinter
PLX:between.pp		inter
PLX:beyond.pp		trans
PLX:but.cnj		ma
PLX:by means of.pp		per
PLX:can.v		pove
PLX:during.pp		durant
PLX:except for.pp		exept
PLX:for the purpose of.pp		por
PLX:from.pp		ek
PLX:from.pp		fro
PLX:if.cnj		si
PLX:in exchange for.pp		po
PLX:in front of.pp		devan
PLX:in.pp		in
PLX:instead of.pp		insted
PLX:like.pp		samiman kam
PLX:like.pp		simil ad
PLX:near.pp		proxim
PLX:of.pp		de
PLX:on.pp		sur
PLX:or.cnj		o
PLX:other.pro		-a)
PLX:other.pro		altre(-o
PLX:other.pro		altri
PLX:outside of.pp		exter
PLX:quantity of.pp		de
PLX:should.v		deve
PLX:than.pp		kam
PLX:that.cnj		ke
PLX:that.pro		ta
PLX:that.pro		te
PLX:that.pro		ti
PLX:that.pro		to
PLX:this.pro		-a
PLX:this.pro		-e
PLX:this.pro		disi
PLX:this.pro		diso
PLX:through.pp		tra
PLX:to.pp		a
PLX:to.pp		vers
PLX:too little.adv		tro pokim
PLX:under.pp		sub
PLX:when.pro		quand
PLX:where.pro		vor
PLX:which.pro		kel
PLX:why.pro		pro quum
PLX:with.pp		kun
PLX:without.pp		sin
PWN:abdomen.n.01		abdomene
PWN:about.r.07		preske
PWN:absent.a.01		absent(i)
PWN:absorb.v.04		absorba
PWN:abuse.n.02		insulta
PWN:accept.v.02		alsepta
PWN:accident.n.01		aksidente
PWN:account.n.07		registre
PWN:accurate.s.02		akurat(i)
PWN:accurate.s.02		exakti
PWN:accurate.s.02		presis(i)
PWN:acid.s.03		asidi
PWN:act.n.02		akto
PWN:ad.n.01		anonse
PWN:add.v.01		adi
PWN:address.n.06		adrese
PWN:adhere.v.06		adhese
PWN:admire.v.01		admira
PWN:advancement.n.03		progreso
PWN:advice.n.01		avise
PWN:again.r.01		altrifoy
PWN:age.n.01		aje
PWN:agency.n.01		buro
PWN:agree.v.01		konsento
PWN:aim.v.01		ema
PWN:air.n.01		aere
PWN:airplane.n.01		avie
PWN:alcohol.n.01		alkokole
PWN:alive.a.01		vivant
PWN:alkaline.a.01		alkali
PWN:all.a.01		omni (every)
PWN:all.a.01		toti (the whole of)
PWN:alphabet.n.01		alfabete
PWN:already.r.01		anteu
PWN:already.r.01		ja
PWN:alternate.v.01		alterna
PWN:always.r.01		sempre
PWN:ambassador.n.01		ambasadere
PWN:amusing.s.02		komiki
